total_area,living_area,kitchen_area,cityCenters_nearest,bedrooms,floors_total,ceiling_height,airports_nearest,floor,balcony,price_class
47.3,27.0,9.5,12534,2,9,2.6,28011,1,2,0.0
123.0,66.0,17.6,16722,3,5,3.0,17720,5,0,1.0
32.0,18.0,7.0,10831,1,5,2.5,36541,2,1,0.0
55.8,34.0,9.0,5951,3,5,2.8,32859,1,0,1.0
35.8,14.3,9.8,13343,1,16,2.7,26538,3,2,0.0
67.8,41.6,8.2,14760,3,16,2.7,16798,12,1,0.0
68.1,45.1,8.2,14152,3,10,2.5,51152,3,0,1.0
68.6,35.8,10.7,5164,2,10,2.7,23639,4,0,1.0
91.0,43.0,26.0,3847,3,4,3.3,24015,4,0,1.0
85.0,50.0,11.0,16002,3,25,2.65,39180,20,1,1.0
54.9,32.5,10.1,22740,2,12,2.65,21028,12,2,0.0
96.38,44.99,19.51,13615,2,12,2.7,7399,12,0,1.0
45.0,24.7,7.4,10659,2,14,2.6,36909,10,0,0.0
32.0,17.0,6.0,14561,1,12,2.8,13482,2,0,0.0
35.0,17.5,6.5,8850,1,6,2.5,11633,1,0,0.0
64.0,42.3,7.0,12113,3,12,2.6,31520,6,0,0.0
40.0,20.0,10.1,14600,1,12,2.65,34298,6,0,0.0
51.0,30.8,9.3,13307,2,9,2.55,14831,9,0,0.0
58.5,34.2,7.9,4087,2,6,3.23,21869,5,0,1.0
59.0,53.0,8.6,7223,2,18,2.5,23278,9,1,1.0
51.9,17.8,11.0,15896,1,25,2.7,13305,25,2,1.0
88.0,56.0,12.0,13819,3,10,2.7,33517,8,0,1.0
34.2,17.6,8.7,16170,1,12,2.6,35869,5,2,0.0
45.3,31.0,6.3,14824,2,5,2.5,42320,2,1,0.0
64.4,41.4,7.4,12831,3,14,2.57,32322,5,0,0.0
52.2,32.8,7.9,4725,2,5,3.0,31633,4,0,1.0
43.2,30.6,10.5,15363,1,19,3.0,51340,15,2,0.0
32.0,16.0,9.0,16431,1,9,2.5,46911,4,0,0.0
56.1,42.0,5.0,17813,3,5,2.5,7637,1,0,0.0
47.1,19.0,11.9,11096,1,8,3.0,39393,8,0,1.0
62.85,33.87,11.59,13094,2,25,2.7,15360,17,2,0.0
31.0,19.0,5.0,14930,1,5,2.6,21225,2,0,0.0
30.0,16.0,8.5,14132,1,14,2.7,32968,1,0,0.0
42.0,17.0,11.0,21796,1,16,2.75,18357,14,2,0.0
50.3,28.3,7.0,11270,2,9,2.55,29338,5,0,0.0
45.0,21.6,10.0,9781,1,23,2.75,36724,6,0,0.0
60.0,35.0,6.0,12455,3,9,2.5,31167,5,2,0.0
70.0,45.0,8.0,13606,3,16,2.7,14809,5,2,1.0
47.4,26.1,9.8,15114,2,12,2.7,50051,3,0,0.0
106.0,70.0,15.0,4733,6,3,2.8,20290,1,0,1.0
48.0,19.0,15.0,5332,1,9,3.0,23808,4,0,1.0
59.6,43.7,7.2,9435,4,5,2.5,13153,5,0,0.0
58.3,44.0,6.0,12739,3,5,2.53,17964,2,0,0.0
41.7,19.3,11.5,15893,1,25,2.75,34816,12,0,1.0
72.0,44.4,8.1,11357,3,12,2.65,33080,9,0,1.0
121.2,72.5,15.4,4172,4,6,3.0,30987,2,0,1.0
54.4,29.7,8.8,12209,2,9,2.75,13413,2,2,0.0
37.0,18.0,8.5,12580,1,15,2.6,13783,3,2,0.0
45.9,24.4,10.1,5058,1,6,3.75,26356,4,0,1.0
147.0,88.2,13.8,5480,4,8,3.0,24463,2,0,1.0
30.0,16.0,7.0,14703,1,5,2.5,21973,3,0,0.0
49.3,34.8,7.1,10428,3,5,2.53,35284,1,0,0.0
35.76,14.1,11.6,14557,1,24,2.65,33416,11,2,0.0
73.5,51.0,6.2,13123,4,10,2.8,36209,2,1,1.0
86.0,52.0,12.0,15447,3,19,2.75,34279,10,1,1.0
42.0,19.0,9.0,18785,1,25,2.8,46061,18,2,0.0
49.0,17.0,12.0,5080,1,7,3.0,32121,3,1,1.0
33.5,13.0,8.8,11146,1,10,2.57,30276,9,0,0.0
58.3,39.5,6.4,15702,3,9,2.5,49847,2,5,0.0
73.45,43.89,14.6,4599,2,9,3.2,32551,3,2,1.0
60.7,39.3,7.8,11243,3,14,2.5,41111,13,4,1.0
43.0,17.3,10.8,12525,1,10,2.5,13189,9,2,0.0
74.3,52.3,6.3,13297,4,9,2.6,29555,3,0,1.0
66.0,42.0,8.0,13222,3,9,2.65,32742,8,2,1.0
53.0,30.4,7.6,6177,2,6,3.0,24879,1,0,1.0
52.0,31.0,7.3,6185,2,12,2.65,28813,5,0,0.0
44.0,20.0,14.0,21796,1,16,2.7,18357,4,1,0.0
86.0,49.0,14.0,13966,3,14,2.5,10590,8,0,1.0
74.7,41.9,13.0,14769,3,19,2.75,37948,17,0,1.0
85.0,57.2,12.6,1325,4,5,3.4,21849,4,0,1.0
70.7,45.1,8.2,12285,3,12,2.65,27762,12,5,1.0
40.2,20.0,10.0,10914,1,14,3.0,44132,11,0,0.0
56.0,30.2,8.2,14405,2,9,2.55,13430,6,0,0.0
34.0,17.6,8.0,16136,1,9,2.6,47677,7,1,0.0
31.7,18.0,6.0,9802,1,5,2.65,10452,4,1,0.0
83.0,58.0,8.4,5089,3,5,3.4,24522,3,0,1.0
81.0,50.0,11.0,25925,3,5,2.6,47362,5,0,1.0
71.0,47.0,8.0,10879,3,16,2.6,26706,13,2,1.0
43.8,21.1,12.1,13445,1,16,2.8,10069,15,2,1.0
34.2,17.0,6.7,8532,1,5,3.0,29826,3,1,0.0
56.8,40.6,6.0,11593,3,9,2.6,32457,9,5,0.0
59.0,20.0,17.4,9432,1,21,2.74,27543,18,2,1.0
67.8,42.0,10.5,15753,3,14,2.8,35451,3,1,1.0
62.0,28.0,15.0,13370,2,25,3.75,51443,2,0,1.0
32.0,17.6,5.5,9872,1,5,2.5,35904,3,0,0.0
49.0,37.1,5.3,14516,4,5,2.6,21854,2,0,0.0
